#{"t_start": 1767722046.9702315, "env_id": "None"}
r,l,t
1821.6426,900,1368.555348
310.25748,275,1370.31089
1868.0356,900,1371.29036
89.21862,86,1376.700671
1093.9738,612,1379.634611
1796.8905,900,1385.140444
1095.4147,549,1389.938862
228.48204,125,1394.081894
1909.9175,900,1395.028408
847.4424,423,1395.843726
918.80334,511,1411.333038
1920.3313,900,1414.49246
545.4133,266,1422.029297
830.5742,564,1422.421463
1986.6704,900,1422.492774
1695.003,900,1426.410649
1728.682,900,1433.288337
2084.866,900,1433.288337
565.2527,338,1435.044136
487.06595,260,1444.696066
638.1186,330,1445.618597
1809.3458,900,1449.589993
109.15811,109,1453.659319
366.49533,338,1459.769069
1739.9253,900,1460.905898
466.42963,591,1464.622526
925.7927,594,1465.267942
2086.85,900,1465.34967
452.05768,279,1465.50152
1912.2052,900,1466.749508
927.7778,547,1474.008522
223.72176,149,1477.02405
1815.73,900,1480.62948
99.955124,137,1491.357329
606.8837,398,1491.932765
1114.06,549,1491.932765
909.0877,469,1496.184258
1894.165,900,1501.32634
655.8792,492,1503.366098
1123.2795,507,1518.093944
932.539,584,1521.488382
669.6929,398,1524.788451
1800.6471,900,1526.230964
547.98267,282,1526.230964
594.83606,385,1538.491276
1765.6451,900,1539.869196
2046.5691,900,1540.847375
1726.0767,900,1542.371049
419.08252,294,1545.423795
1328.0127,590,1548.621633
180.66704,147,1561.319166
1966.5913,900,1584.830956
1793.6678,900,1584.830956
160.33266,420,1592.01608
945.3621,527,1605.207205
1034.6368,608,1609.031852
762.8739,539,1609.512524
636.37823,404,1614.102811
403.93875,232,1614.78819
1919.3086,900,1619.719693
1974.9395,900,1623.304976
1962.685,900,1624.786777
1909.7659,900,1624.786777
96.72451,101,1629.599842
137.58263,133,1637.704965
1921.8066,900,1640.031038
463.13138,375,1646.056576
1200.354,569,1669.55732
1856.1376,900,1672.195762
1969.7048,900,1672.195762
874.515,544,1689.780665
1857.3285,900,1691.895831
1763.9452,900,1695.569846
1916.6554,900,1700.354172
1569.5688,900,1709.018795
1835.8665,900,1710.392736
1974.7156,900,1714.922536
854.9932,547,1723.30747
1900.2681,900,1724.828585
498.981,378,1726.801145
1177.4789,605,1728.787853
1666.529,900,1730.682348
717.8618,400,1732.679894
-56.341625,164,1744.86972
281.18295,161,1748.5183
1824.7869,900,1755.061603
542.39685,428,1756.199677
1869.4647,900,1775.771072
1826.2644,900,1800.453674
645.0552,409,1808.990578
1751.1804,900,1809.90777
1665.1992,900,1811.440466
794.2823,539,1815.302427
-103.42627,78,1819.0956
1933.0619,900,1825.456839
2004.78,900,1827.031599
1925.0245,900,1829.137341
1968.5535,900,1833.149781
312.94894,210,1839.984596
173.36867,149,1840.172857
2070.9233,900,1847.29121
1727.2767,900,1858.605
805.57135,544,1863.67225
152.81403,128,1875.956285
634.63306,384,1877.473677
1957.4166,900,1877.96421
