#{"t_start": 1767717267.1060405, "env_id": "None"}
r,l,t
-175.757,92,184.659916
-60.481083,55,184.853465
-60.32181,55,185.589759
-80.60594,57,185.662418
-69.15594,138,185.837471
-95.24384,72,186.007511
-24.435577,99,186.314271
-67.06181,65,186.878456
2.4672427,74,186.944821
-23.89983,121,187.214366
2.0818646,98,187.348432
-95.39776,102,188.038484
62.381386,93,188.078387
-62.060432,67,188.181736
-145.48862,77,188.28015
-18.187572,44,188.738127
-27.181143,40,189.527257
-60.949,97,189.672121
2.9128482,120,189.806966
55.512413,322,190.079338
91.71497,94,190.121766
45.560875,104,190.516767
-143.26889,101,190.817702
-115.59699,55,191.661794
-33.290516,64,191.83176
150.26115,122,192.171877
-12.882156,217,193.459739
-21.233234,79,193.538255
9.787224,131,194.038307
49.202946,123,194.318161
37.040905,183,194.360795
35.77113,79,194.431636
-46.68236,191,194.846681
41.29903,178,194.883508
20.863993,138,194.883508
-4.9380164,93,195.089894
-60.508976,49,195.768264
-161.76776,49,196.630683
-90.81573,127,196.671762
-67.5899,77,197.065432
-63.27306,86,197.488824
-48.560665,143,198.580631
-71.56706,106,198.615724
99.29671,236,198.748647
54.40511,61,198.781639
47.958466,94,199.045787
-34.992332,82,199.832392
-31.904324,143,200.028471
-79.62077,44,200.064848
13.933458,53,200.518518
-58.05649,70,200.877492
66.37597,228,201.292813
22.838194,86,201.835192
-54.201553,142,202.153346
-162.59346,74,202.217382
-17.882313,72,202.376393
-52.111233,176,202.470074
-40.512405,60,203.231815
45.00502,107,203.493186
-388.57727,274,203.594446
8.278871,156,203.820868
-5.8282475,50,203.856838
82.20582,103,203.856838
-64.27316,43,203.88683
-92.642685,69,204.075544
-35.42356,102,204.16616
27.024513,74,204.56543
-115.14771,306,205.111803
-54.388897,66,206.381729
-17.436663,79,206.512341
-23.383802,85,206.682913
-67.499374,49,206.750084
-82.13373,107,206.78381
51.275093,84,207.380673
65.41065,117,207.750074
-51.353985,41,208.115687
-10.049764,147,208.711629
-95.22816,40,208.711629
14.2582655,197,208.904798
-17.819876,71,209.135338
-58.377567,178,209.391778
-53.54956,190,209.872014
-98.83125,108,209.942425
-57.26949,109,210.110959
-38.534336,63,210.76012
-42.12154,69,211.193502
-47.670216,221,211.431852
33.5029,87,211.600941
-31.993738,117,211.635725
-138.93938,49,211.765627
-75.07844,91,212.180173
10.156841,133,212.569835
-37.840546,39,213.008573
-17.776087,65,213.912029
-79.21491,70,214.69429
-20.984913,48,214.729642
-42.784782,119,214.972122
24.154121,172,215.348741
-55.86735,136,216.253465
-53.97414,137,216.641058
35.713825,295,216.808816
39.391552,62,216.912837
-65.08601,63,216.912837
-124.09914,128,217.111114
32.572063,223,217.735118
-261.35455,233,218.010913
-75.236015,62,218.382663
-98.18876,113,218.894635
-24.700163,228,219.192251
-29.760925,43,219.509824
15.003218,176,220.056793
-53.29686,51,220.170096
45.66674,96,220.43874
-25.520514,84,220.642067
-84.64487,117,220.936304
-76.068405,62,221.0425
-9.236234,120,221.0425
-24.42074,58,228.193815
-52.601032,37,228.618898
-31.675291,91,229.046624
63.63443,173,229.350003
-140.99704,214,229.519653
-161.0053,208,230.737349
34.630947,91,230.842689
8.524038,114,231.117231
-35.52725,103,231.370114
34.833035,132,231.482096
-86.330864,30,231.787704
-31.579502,93,231.891757
-82.60183,85,232.478304
96.466805,186,233.250986
-90.27237,126,233.748087
30.395058,170,234.158828
-31.308699,82,234.331692
-11.454033,90,234.509659
18.168724,208,235.024486
10.8492985,85,235.43431
73.91065,141,235.742419
14.774308,59,235.780124
-191.83568,136,235.845522
-25.396206,47,235.947653
-49.65225,34,236.598185
22.363508,75,236.734434
-96.58985,118,237.299055
63.27266,110,238.272446
268.64285,273,238.517643
16.116648,194,238.587373
144.68814,198,238.621745
10.850725,66,238.859742
8.824496,102,239.35176
-32.89152,29,239.528827
-32.689655,89,239.813708
-28.60901,83,240.185335
-17.580442,135,240.389751
-72.604576,32,240.633294
-108.64345,68,240.633294
-53.536545,182,242.268195
10.7914915,83,242.722813
5.557486,113,242.82778
-44.137676,68,243.046443
31.374697,111,243.257334
-15.6848345,136,243.398321
-47.500313,44,243.820793
-81.84073,109,244.256494
59.517372,112,244.606616
-39.781208,51,244.642485
-203.99065,289,245.096687
32.44777,70,245.535293
-82.97669,54,245.752874
-45.879883,67,245.787891
-169.77795,204,245.787891
-3.2612982,160,245.851791
37.5337,127,247.168318
-29.301752,71,248.172469
25.36651,145,248.31066
-38.724678,36,248.411697
-2.8663263,88,248.845487
0.3804805,90,248.845487
268.0792,382,249.054757
-28.584465,122,249.296907
-48.586025,108,249.474705
-61.935627,33,249.546376
-42.09633,38,249.614895
134.32785,146,249.648318
-117.59356,88,251.196412
-133.20065,59,251.674481
96.28707,222,251.912983
-38.435196,73,251.97858
58.419918,219,252.188532
-138.74532,92,252.70976
-100.81372,113,252.955188
20.543247,128,253.258752
-58.933792,116,253.293991
-13.765711,50,253.402432
55.750668,135,253.498287
-60.461983,57,254.138265
-2.7448518,70,254.385977
198.30473,261,254.492524
3.9558184,46,254.846497
61.45599,87,254.925466
-103.56755,47,254.925466
-28.312643,168,255.420775
-45.62906,70,255.949794
-56.30264,89,256.056152
-36.211143,68,256.547262
-16.387468,112,256.619931
-57.314884,84,257.94068
-88.25795,103,258.087343
-122.61479,85,259.025601
23.423965,89,259.271065
-10.7952,79,259.483663
5.680208,41,259.549635
-11.043127,137,259.757302
-72.24565,97,260.012442
94.07046,166,260.383734
-1.5643407,57,260.947257
-62.126698,158,260.985491
-51.691032,45,260.985491
-29.150156,239,261.73189
12.039293,68,261.991065
70.896194,134,262.48966
56.978035,329,262.587898
66.09675,80,262.656356
-71.90254,52,262.693299
20.351818,123,263.8273
-44.62381,85,264.060081
-33.693146,69,264.388608
-3.1757412,111,264.448648
116.20871,265,264.448648
86.01125,111,265.276628
-50.33691,65,265.558623
-3.6358182,183,266.770717
-36.797195,60,268.176359
-33.76674,83,268.939052
-55.683056,85,269.436376
-38.997547,127,269.657704
2.714882,146,269.941664
-37.270634,86,270.075401
-12.018343,70,270.40234
127.20633,132,270.40234
20.620045,54,270.557693
-80.79067,156,272.017536
64.48219,117,272.223295
-78.94552,70,274.254965
47.882923,68,274.781996
23.917696,43,275.007015
-99.59983,66,275.007015
-45.611374,75,275.58874
-61.12303,75,275.716537
52.109463,164,276.657816
-14.407812,66,276.801712
3.9080913,138,277.738367
50.20196,118,278.080078
4.85251,138,279.196635
-27.395403,65,279.486368
-127.26829,70,280.655453
-65.57849,80,282.383587
107.44461,118,282.678795
25.283857,72,282.979732
-2.3575232,105,283.124483
-33.6464,58,283.745667
-152.59941,76,284.768054
44.73027,241,286.048725
-89.23568,32,286.135742
-68.369316,155,286.135742
-59.102108,116,286.581894
34.280148,137,286.714151
-97.45973,84,286.879967
-20.759022,68,288.086865
-13.89348,34,288.583223
21.319954,82,288.672393
-66.14076,92,289.107352
-84.3536,65,289.549793
24.919191,62,291.305449
62.510223,238,291.865
-34.051956,63,293.904788
75.00901,117,294.40353
-72.14559,94,294.670049
31.269203,93,295.059969
-22.75866,171,295.135391
-60.11366,49,295.217439
-93.21082,125,295.488421
-19.810259,157,297.006993
-62.312893,163,297.893787
-21.929047,130,298.026879
13.578895,70,298.623396
-49.970894,121,299.452708
-52.16196,73,299.521963
-1.6510435,36,300.973538
-109.21748,97,301.529027
-48.041317,97,301.598144
9.129539,96,303.189848
91.23142,121,303.324067
-121.140755,89,303.55355
57.883503,142,303.612151
9.205032,88,304.935444
-6.4139943,112,304.993663
53.275784,277,306.588411
79.83966,188,306.753631
-10.167734,105,307.081146
-107.26075,81,307.806164
17.299534,115,308.119984
-37.939503,70,308.71577
102.48484,140,309.408884
-44.60838,92,309.963562
54.34078,141,311.281842
-74.49709,66,311.671877
91.58177,218,311.905934
85.06381,160,311.962992
-106.47189,58,312.575953
8.216574,108,312.928964
-5.284026,95,312.985522
-40.459663,116,313.041198
-34.048473,32,313.098128
-104.334854,62,313.396712
-90.356224,35,313.644073
14.116384,131,313.699921
154.5365,195,314.196462
-122.2323,60,315.712902
-18.328632,55,316.435138
-53.048683,91,316.648739
35.047123,93,317.746014
-7.5332003,90,317.845796
-87.28192,115,317.845796
-47.52564,44,318.763812
52.202415,123,319.048572
-50.222622,201,319.098503
26.837051,81,319.633817
-18.396484,139,319.892072
-59.94558,47,320.081778
-83.37645,144,320.081778
34.225468,54,320.34392
1.198223,148,320.6464
-111.130264,28,321.058484
-6.0434017,36,321.324135
-4.8628635,75,322.305686
16.275278,115,322.340105
-157.02583,92,322.472051
-18.059513,92,322.507981
0.43571436,84,322.807276
-153.7739,49,322.967612
45.618896,83,323.132157
34.860497,125,323.382177
